Food,Category,Calories,Protein,Carbs,Fat,Tags
Apple,Fruit,52,0.3,14.0,0.2,vegan|vegetarian|halal|gluten-free
Banana,Fruit,89,1.1,23.0,0.3,vegan|vegetarian|halal|gluten-free
Orange,Fruit,47,0.9,12.0,0.1,vegan|vegetarian|halal|gluten-free
Grapes,Fruit,69,0.7,18.0,0.2,vegan|vegetarian|halal|gluten-free
Mango,Fruit,60,0.8,15.0,0.4,vegan|vegetarian|halal|gluten-free
Strawberry,Fruit,32,0.7,8.0,0.3,vegan|vegetarian|halal|gluten-free
Pineapple,Fruit,50,0.5,13.0,0.1,vegan|vegetarian|halal|gluten-free
Papaya,Fruit,43,0.5,11.0,0.3,vegan|vegetarian|halal|gluten-free
Watermelon,Fruit,30,0.6,8.0,0.2,vegan|vegetarian|halal|gluten-free
Kiwi,Fruit,61,1.1,15.0,0.5,vegan|vegetarian|halal|gluten-free
Carrot,Vegetable,41,0.9,10.0,0.2,vegan|vegetarian|halal|gluten-free
Broccoli,Vegetable,34,2.8,7.0,0.4,vegan|vegetarian|halal|gluten-free
Spinach,Vegetable,23,2.9,3.6,0.4,vegan|vegetarian|halal|gluten-free
Potato,Vegetable,77,2.0,17.0,0.1,vegan|vegetarian|halal|gluten-free
Tomato,Vegetable,18,0.9,3.9,0.2,vegan|vegetarian|halal|gluten-free
Cucumber,Vegetable,16,0.7,3.6,0.1,vegan|vegetarian|halal|gluten-free
Onion,Vegetable,40,1.1,9.3,0.1,vegan|vegetarian|halal|gluten-free
Cabbage,Vegetable,25,1.3,6.0,0.1,vegan|vegetarian|halal|gluten-free
Cauliflower,Vegetable,25,1.9,5.0,0.3,vegan|vegetarian|halal|gluten-free
Green Peas,Vegetable,81,5.4,14.0,0.4,vegan|vegetarian|halal|gluten-free
Rice (White),Grain,130,2.7,28.0,0.3,vegan|vegetarian|halal|gluten-free
Rice (Brown),Grain,123,2.6,25.6,1.0,vegan|vegetarian|halal|gluten-free
